Contig	Mar_OO	Apr_OO	May_lateOO	May_EE	May_ME	Jun_Lar
TRINITY_DN121191_c0_g1_i1	0.0	0.0	3.0	0.0	0.0	0.0
TRINITY_DN138432_c0_g1_i1	0.0	1.0	3.0	0.0	1.0	0.0
TRINITY_DN118377_c0_g1_i1	0.0	0.0	3.0	0.0	1.0	0.0
TRINITY_DN136374_c0_g1_i1	0.0	0.0	3.0	0.0	0.0	0.0
TRINITY_DN120987_c0_g1_i1	0.0	0.0	3.0	0.0	0.0	0.0
TRINITY_DN120703_c0_g1_i1	1.0	0.0	3.0	0.0	0.0	0.0
TRINITY_DN134588_c0_g1_i1	0.0	0.0	3.0	0.0	1.0	0.0
TRINITY_DN109097_c0_g1_i1	0.0	0.0	3.0	0.0	0.0	0.0
TRINITY_DN119432_c0_g1_i1	0.0	0.0	3.0	0.0	1.0	0.0
TRINITY_DN55129_c0_g1_i1	0.0	0.0	3.0	0.0	0.0	1.0
TRINITY_DN91478_c0_g1_i1	0.0	1.0	3.0	0.0	0.0	0.0
TRINITY_DN59004_c0_g1_i1	1.0	0.0	3.0	0.0	1.0	0.0
TRINITY_DN39576_c0_g1_i1	0.0	0.0	3.0	0.0	0.0	0.0
TRINITY_DN71404_c0_g1_i1	0.0	0.0	3.0	1.0	0.0	0.0
TRINITY_DN67199_c0_g1_i1	0.0	0.0	3.0	5.0	0.0	0.0
TRINITY_DN63411_c0_g1_i1	0.0	0.0	3.0	1.0	0.0	0.0
TRINITY_DN38166_c0_g1_i1	0.0	0.0	3.0	0.0	1.0	0.0
TRINITY_DN20617_c0_g1_i1	0.0	0.0	3.0	0.0	0.0	0.0
TRINITY_DN76381_c0_g1_i1	0.0	0.0	3.0	0.0	0.0	0.0
TRINITY_DN76626_c0_g1_i1	0.0	0.0	3.0	1.0	0.0	1.0
TRINITY_DN9571_c0_g1_i11	0.0	0.0	3.0	0.0	0.0	1.0
TRINITY_DN25453_c0_g1_i1	0.0	2.0	3.0	1.0	1.0	0.0
TRINITY_DN10348_c0_g2_i9	5.9	0.0	3.0	0.0	1.0	0.0
TRINITY_DN59865_c0_g1_i1	0.0	0.0	3.0	4.0	1.0	0.0
TRINITY_DN74963_c0_g1_i1	0.0	0.0	3.0	0.0	0.0	0.0
TRINITY_DN75216_c0_g1_i1	0.0	3.0	3.0	0.0	0.0	1.0
TRINITY_DN77455_c0_g1_i1	0.0	0.0	3.0	0.0	0.0	0.0
TRINITY_DN43270_c0_g1_i2	2.0	0.0	3.0	2.0	1.0	0.0
TRINITY_DN28756_c0_g1_i1	0.0	1.0	3.0	0.0	0.0	0.0
TRINITY_DN89417_c0_g1_i1	1.0	0.0	3.0	0.0	2.0	0.0
TRINITY_DN65875_c0_g1_i1	0.0	0.0	3.0	1.0	0.0	0.0
TRINITY_DN90629_c0_g1_i1	0.0	0.0	3.0	0.0	1.0	0.0
TRINITY_DN44123_c0_g1_i2	0.0	0.0	3.0	0.0	0.0	0.0
TRINITY_DN63637_c0_g1_i1	0.0	1.0	3.0	1.0	3.0	0.0
TRINITY_DN8077_c1_g1_i1	0.0	0.0	3.0	0.0	1.0	0.0
TRINITY_DN60525_c0_g1_i1	0.0	0.0	3.0	0.0	0.0	1.0
TRINITY_DN49663_c0_g1_i1	2.0	0.0	3.0	0.0	0.0	0.0
TRINITY_DN24644_c0_g1_i1	0.0	0.0	3.0	1.0	0.0	0.0
TRINITY_DN25453_c1_g3_i1	0.0	2.0	3.0	0.0	0.0	0.0
TRINITY_DN5921_c0_g2_i3	0.0	0.0	3.0	0.0	0.0	0.0
TRINITY_DN32972_c0_g2_i2	1.0	2.0	3.0	0.0	2.0	0.0
TRINITY_DN4130_c0_g1_i27	4.0	62.8	3.0	0.0	0.6	2.3
TRINITY_DN8822_c0_g1_i15	0.7	3.4	2.9	0.0	3.1	0.0
TRINITY_DN23130_c0_g1_i3	8.9	0.0	2.9	0.0	2.3	14.4
TRINITY_DN16294_c0_g1_i3	0.0	0.0	2.9	0.0	0.0	0.0
TRINITY_DN22119_c0_g1_i18	3.4	4.0	2.8	0.0	0.0	0.0
TRINITY_DN2858_c0_g1_i6	5.5	7.5	2.7	0.0	0.0	2.3
TRINITY_DN9347_c0_g1_i8	0.0	5.2	2.7	0.0	0.0	0.0
TRINITY_DN19938_c0_g1_i3	1.0	0.0	2.6	0.0	0.0	0.0
