OTU_ID	DNA1	DNA2	DNA3	Hp01	Hp02	Hp03	Hp04	Hp05	Hp06	Hp07	Hp08	Hp09	Hp10	Hp11	Hp12	Hp13	Hp14	Hp15	Hp16	Hp17	Hp18	Hp19	Hp20	Hp21	Hp22	Hp23	Hp24	Hp25	Hp26	Hp27	Hp28	Hp29	Hp30	Hp31	Hp32	Hp33	Hp34	Hp35	Hp36	Hp37	Hp38	Hp39	Hp40	Hp41	Hp42	Hp43	Hp44	Hp45	Hp46	Hp47	Hp48	Hp49	Hp50	Hp51	Hp52	Hp53	Hp54	Hp55	Hp56	Hp57	Hp58	Hp59	Hp60	Hp61	Hp62	Hp63	Hp64	Hp65	Hp66	Hp67	Hp68	Hp69	Hp70	Hp71	Hp72	Hp73	Hp74	Hp75	Hp76	Hp77	Hp78	Hp79	Hp80	Hp81	Hp82	Hp83	Hp84	Hp85	Hp86	Hp87	Hp88	Hp89
Zotu617	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1368	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu462	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1066	0	0	0	34	0	0	7	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu125	0	0	0	82	0	21	6	52	0	0	5	14	3	2	0	0	1	4	5	18	13	23	17	13	13	19	18	7	3	14	7	5	7	51	14	63	25	12	15	5	12	22	25	15	4	9	0	3	0	2	18	0	1	2	0	7	0	0	7	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu321	0	0	0	107	0	0	0	0	0	0	0	0	2	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu73	0	0	0	79	583	120	84	281	113	507	60	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu131	0	0	0	70	0	10	11	0	0	0	0	0	29	0	0	9	0	0	0	0	0	0	10	9	0	0	1	2	0	0	0	0	7	0	49	5	34	41	28	27	0	30	6	0	20	3	0	9	0	0	26	1	1	87	48	0	0	24	10	10	8	0	0	6	0	0	0	4	0	33	0	0	6	0	0	0	0	0	1	48	26	11	43	15	9	52	39	117	66	0	0	12
Zotu1780	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	7	0	1	0	0	0	0
Zotu424	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
